,time,volume,occupancy,speed
817,070033000,20,10,54
818,070103000,20,10,54
819,070133000,15,7,57
820,070204000,13,6,58
821,070234000,14,7,60
822,070305000,16,8,59
823,070335000,9,4,62
824,070405000,20,10,62
825,070436000,3,3,62
826,070507000,27,13,60
827,070537000,10,5,51
828,070607000,10,5,53
829,070638000,7,3,52
830,070708000,14,7,53
831,070738000,14,7,55
832,070809000,7,3,57
833,070840000,12,6,58
834,070910000,12,6,60
835,070940000,11,5,59
836,071011000,15,7,60
837,071041000,18,9,57
838,071111000,7,3,55
839,071141000,18,9,55
840,071211000,19,9,57
841,071242000,13,6,60
842,071312000,17,8,60
843,071342000,12,6,58
844,071412000,17,8,55
845,071443000,12,6,60
846,071513000,7,3,61
847,071543000,15,7,62
848,071614000,14,7,57
849,071645000,17,8,62
850,071715000,14,7,60
851,071745000,16,8,57
852,071815000,16,8,57
853,071845000,14,7,56
854,071916000,12,6,57
855,071947000,16,8,55
856,072017000,19,9,52
857,072048000,12,6,54
858,072118000,16,8,55
859,072148000,19,9,58
860,072218000,13,6,57
861,072249000,17,8,53
862,072319000,19,9,57
863,072350000,15,7,54
864,072420000,14,7,57
865,072450000,13,6,61
866,072521000,15,7,63
867,072551000,7,4,61
868,072622000,10,7,60
869,072652000,15,7,67
870,072723000,12,6,66
871,072753000,10,5,60
872,072823000,9,4,55
873,072854000,15,7,54
874,072924000,12,6,55
875,072924000,12,6,55
876,073025000,16,8,56
877,073055000,11,5,58
878,073126000,9,5,59
879,073156000,16,8,62
880,073226000,19,12,60
881,073256000,14,7,65
882,073327000,16,11,58
883,073357000,15,7,60
884,073357000,15,7,60
885,073428000,20,10,59
886,073458000,15,7,65
887,073529000,16,8,66
888,073559000,18,9,62
889,073629000,17,8,56
890,073659000,9,4,53
891,073730000,19,10,57
892,073801000,12,6,59
893,073831000,10,5,63
894,073901000,15,7,59
895,073932000,9,4,60
896,074002000,19,9,62
897,074033000,18,9,60
898,074103000,13,6,61
899,074134000,3,1,60
900,074204000,11,5,60
901,074234000,13,6,57
902,074304000,18,9,54
903,074334000,15,7,53
904,074404000,17,8,54
905,074435000,11,5,53
906,074505000,15,7,53
907,074536000,14,7,57
908,074607000,9,4,61
909,074637000,15,7,64
910,074707000,6,3,60
911,074738000,12,6,57
912,074809000,17,8,57
913,074840000,19,9,55
914,074911000,15,7,56
915,074941000,18,9,57
916,075012000,11,5,58
917,075042000,9,4,61
918,075112000,17,8,63
919,075143000,16,8,59
920,075213000,8,4,58
921,075243000,6,3,57
922,075313000,13,6,55
923,075344000,4,3,55
924,075414000,12,6,58
925,075445000,21,10,60
926,075515000,15,7,62
927,075546000,14,7,55
928,075617000,9,4,55
929,075647000,15,7,58
930,075717000,7,3,59
931,075748000,9,4,59
932,075818000,12,6,57
933,075849000,20,10,56
934,075919000,16,9,57
935,075950000,13,6,54
936,080020000,9,5,57
937,080051000,9,4,57
938,080121000,3,1,57
939,080151000,10,5,53
940,080222000,18,9,50
941,080252000,21,10,49
942,080322000,16,8,53
943,080352000,9,4,57
944,080423000,11,5,57
945,080453000,13,7,57
946,080524000,10,6,58
947,080554000,4,2,58
948,080624000,7,3,59
949,080655000,15,7,57
950,080725000,9,4,60
951,080755000,12,6,63
952,080826000,13,6,59
953,080856000,4,3,58
954,080927000,15,7,55
955,080957000,13,6,60
956,081028000,18,9,59
957,081059000,10,5,62
958,081129000,7,3,62
959,081159000,16,8,59
960,081230000,17,10,60
961,081300000,11,5,62
962,081331000,21,10,58
963,081401000,17,8,58
964,081431000,13,6,57
965,081501000,13,6,57
966,081532000,12,6,57
967,081602000,7,5,57
968,081633000,8,4,57
969,081703000,16,8,55
970,081734000,5,2,57
971,081804000,10,6,57
972,081835000,12,6,59
973,081906000,17,9,55
974,081937000,18,9,53
975,082007000,14,7,56
976,082037000,7,3,57
977,082108000,23,11,54
978,082139000,8,4,55
979,082209000,15,7,57
980,082240000,9,5,56
981,082310000,15,7,57
982,082341000,19,9,58
983,082411000,16,8,63
